program_id,program_name,pdf,Address,City,Zip
2220026916,RIVERSIDE AFTERSCHOOL 21ST CENTURY PROGRAM,https://childcaresearch.ohio.gov//pdf/002220026916_2023-11-14_ANNUAL.pdf,500 CHICAGO ST,TOLEDO,43611
2220027046,BUILDING STRONG MINDS CHILDCARE,https://childcaresearch.ohio.gov//pdf/002220027046_2024-12-03_ANNUAL.pdf,3666 E. 116TH STREET,CLEVELAND,44105
2220027110,KIDS IN THE RIDGE EARLY LEARNING PROGRAM LLC,https://childcaresearch.ohio.gov//pdf/002220027110_2024-02-22_ANNUAL.pdf,3781 MAIN ST.,MINERAL RIDGE,44440
2220027237,LAUGH N LEARN BABIES LLC,https://childcaresearch.ohio.gov//pdf/002220027237_2025-01-28_ANNUAL.pdf,1485 E. LIVINGSTON AVE,COLUMBUS,43205
2220027340,ICARE CONNECT EDUCATIONAL ACADEMY,https://childcaresearch.ohio.gov//pdf/002220027340_2024-07-24_ANNUAL.pdf,468 RICHMOND ROAD,RICHMOND HEIGHTS,44143
2230027457,KCE CHAMPIONS LLC @ ST. MARGARET OF YORK,https://childcaresearch.ohio.gov//pdf/002230027457_2024-09-09_ANNUAL.pdf,9495 COLUMBIA ROAD,LOVELAND,45140
2230027494,OWLS ACRE MONTESSORI,https://childcaresearch.ohio.gov//pdf/002230027494_2024-07-25_ANNUAL.pdf,1458 TIKI LANE,LANCASTER,43130
2230027605,KIND KIDS LEARNING ACADEMY,https://childcaresearch.ohio.gov//pdf/002230027605_2024-08-13_ANNUAL.pdf,273 WOOSTER RD. N,BARBERTON,44203
2230027725,ORIGINS SCHOOL OF LEARNING,https://childcaresearch.ohio.gov//pdf/002230027725_2024-09-11_ANNUAL.pdf,10531 JEROME ROAD,PLAIN CITY,43064
2230028020,EMPOWERED EARLY LEARNING ACADEMY - CANTON,https://childcaresearch.ohio.gov//pdf/002230028020_2024-09-10_ANNUAL.pdf,1379 GARFIELD AVE SW,CANTON,44706
300415,WILLOUGHBY UNITED METHODIST PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000300415_2024-02-06_ANNUAL.pdf,15 PUBLIC SQUARE,WILLOUGHBY,44094
300428,GREATER ACHIEVEMENT CHILD ENRICHMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000300428_2024-11-25_ANNUAL.pdf,14220 HARVARD AVE.,CLEVELAND,44128
300622,HEART TO HEART ENRICHMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000300622_2024-01-04_ANNUAL.pdf,3095 WEST 25TH ST.,CLEVELAND,44113
300656,LIL' SNEAKERS UNIVERSITY,https://childcaresearch.ohio.gov//pdf/000000300656_2024-01-08_ANNUAL.pdf,8282 YELLOWBRICK ROAD,MENTOR,44060
300710,"KIDS IN THE RIDGE EARLY LEARNING PROGRAM, LLC",https://childcaresearch.ohio.gov//pdf/000000300710_2024-10-24_ANNUAL.pdf,1371 DEPOT ST.,MINERAL RIDGE,44440
300739,VILLA EARLY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000300739_2024-12-17_ANNUAL.pdf,5620 BROADWAY AVENUE,CLEVELAND,44127
300821,YMCA GRANT LEARNING AND ENRICHMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000300821_2024-09-12_ANNUAL.pdf,1470 VICTORIA BLVD.,LAKEWOOD,44107
300908,HEAVEN'S LITTLE INSPIRATIONS,https://childcaresearch.ohio.gov//pdf/000000300908_2024-11-05_ANNUAL.pdf,3767 COMMUNITY COLLEGE AVE,CLEVELAND,44115
301637,KINDERCARE LEARNING CENTER #328,https://childcaresearch.ohio.gov//pdf/000000301637_2024-07-25_ANNUAL.pdf,6145 MEADOWBROOK DRIVE,MENTOR,44060
301735,RIVERFRONT YMCA PRESCHOOL AND SCHOOL AGE ENRICHMENT,https://childcaresearch.ohio.gov//pdf/000000301735_2024-07-02_ANNUAL.pdf,544 BROAD BOULEVARD,CUYAHOGA FALLS,44221
303010,WILLOUGHBY MONTESSORI DAYSCHOOL INC,https://childcaresearch.ohio.gov//pdf/000000303010_2024-02-07_ANNUAL.pdf,5543 S O M CENTER RD,WILLOUGHBY,44094
303584,THE NEST SCHOOLS STRONGSVILLE,https://childcaresearch.ohio.gov//pdf/000000303584_2024-08-07_ANNUAL.pdf,14780 PEARL RD,STRONGSVILLE,44136
303770,CHILDTIME CHILDREN'S CENTER,https://childcaresearch.ohio.gov//pdf/000000303770_2024-10-17_ANNUAL.pdf,270 BEST ST,BEDFORD,44146
